회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,총자본증가율(IFRS),유형자산증가율(IFRS),비유동생물자산증가율(IFRS),투자부동산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),자기자본증가율(IFRS),매출액증가율(IFRS),정상영업이익증가율(IFRS),순이익증가율(IFRS),총포괄이익증가율(IFRS),종업원1인당 부가가치증가율(IFRS),종업원수증가율(IFRS),종업원1인당 매출액증가율(IFRS),종업원1인당 인건비증가율(IFRS),매출액총이익률(IFRS),매출액정상영업이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본정상영업이익률(IFRS),총자본순이익률(IFRS),자기자본정상영업이익률(IFRS),자기자본순이익률(IFRS),경영자본정상영업이익률(IFRS),경영자본순이익률(IFRS),자본금정상영업이익률(IFRS),자본금순이익률(IFRS),매출원가 대 매출액비율(IFRS),영업비용 대 영업수익비율(IFRS),기타손익비률(IFRS),금융손익비율(IFRS),금융비용부담률(IFRS),외환이익 대 매출액비율(IFRS),광고선전비 대 매출액비율(IFRS),세금과공과 대 세금과공과 차감전순이익률(IFRS),기업순이익률(IFRS),수지비율(관계기업투자손익 제외)(IFRS),인건비 대 총비용비율(IFRS),R & D 투자효율(IFRS),세금과공과 대 총비용비율(IFRS),금융비용 대 총비용비율(IFRS),감가상각비 대 총비용비율(IFRS),감가상각률(IFRS),누적감가상각률(IFRS),이자부담률(IFRS),지급이자율(IFRS),차입금평균이자율(IFRS),유보율(IFRS),사내유보율(IFRS),사내유보 대 자기자본비율(IFRS),적립금비율(재정비율)(IFRS),평균배당률(IFRS),자기자본배당률(IFRS),배당성향(IFRS),1주당매출액(IFRS)(원),1주당순이익(IFRS)(원),1주당 CASH FLOW(IFRS)(원),1주당순자산(IFRS)(원),1주당정상영업이익(IFRS)(원),유동자산구성비율(IFRS),재고자산 대 유동자산비율(IFRS),유동자산 대 비유동자산비율(IFRS),당좌자산구성비율(IFRS),비유동자산구성비율(IFRS),자기자본구성비율(IFRS),타인자본구성비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),비유동장기적합률(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),매출채권비율(IFRS),재고자산 대 순운전자본비율(IFRS),매출채권 대 매입채무비율(IFRS),"매출채권 대 상,제품비율(IFRS)",매입채무 대 재고자산비율(IFRS),부채비율(IFRS),유동부채비율(IFRS),단기차입금 대 총차입금비율(IFRS),비유동부채비율(IFRS),비유동부채 대 순운전자본비율(IFRS),순운전자본비율(IFRS),차입금의존도(IFRS),차입금비율(IFRS),이자보상배율(이자비용)(IFRS),이자보상배율(순금융비용)(IFRS),유보액대비율(IFRS),유보액 대 납입자본배율(IFRS),유동자산집중도(IFRS),비유동자산집중도(IFRS),투자집중도(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 총자본비율(IFRS),CASH FLOW 대 매출액비율(IFRS),정상영업이익대비이자보상배율(IFRS),총자본회전률(IFRS),경영자본회전률(IFRS),자기자본회전률(IFRS),자본금회전률(IFRS),타인자본회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),재고자산회전률(IFRS),재고자산회전기간(IFRS),"상품,제품회전률(IFRS)","원,부재료회전률(IFRS)",재공품회전률(IFRS),매출채권회전률(IFRS),매출채권회전기간(IFRS),비유동자산회전률(IFRS),유형자산회전율(IFRS),순운전자본회전률(IFRS),운전자본회전률(IFRS),1회전기간(IFRS),부가가치(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원),종업원1인당 매출액(IFRS)(백만원),종업원1인당 정상영업이익(IFRS)(백만원),종업원1인당 순이익(IFRS)(백만원),종업원1인당 인건비(IFRS)(백만원),노동장비율(IFRS),기계장비율(IFRS),자본집약도(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),부가가치(IFRS)(백만원).1,법인세비용차감전(계속사업)손익(IFRS)(백만원),인건비(IFRS)(백만원),금융비용(IFRS)(백만원),임차료(IFRS)(백만원),세금과공과(IFRS)(백만원),감가상각비(IFRS)(백만원),종업원1인당 부가가치(IFRS)(백만원).1,총자본투자효율(IFRS).1,기계투자효율(IFRS).1,부가가치율(IFRS).1,종업원수(IFRS),label
(주)대호에이엘,69460,2014,1,24,32402,  1차 금속 제조업 ,2002-11-11,,-0.9,9.21,0.0,0.0,-54.7,100.76,3.56,-44.12,5.06,0.0,0.0,0.0,-72.0,-1.14,6.27,11.36,2.86,-0.81,-10.08,-0.89,-0.97,-11.99,-3.01,-37.23,-1.22,-15.09,-7.91,-97.88,97.14,100.81,-8.78,-1.71,1.71,-0.58,0.0,0.0,-9.95,109.47,7.38,0.48,0.0,1.55,2.56,15.4,90.07,3.01,3.12,3.58,95.46,0.0,-32.63,-10.66,0.0,0.0,0.0,4854.4,-494.0,-50.41,931.8,-39.53,70.11,24.53,234.55,52.91,29.89,23.18,76.82,188.46,128.93,72.4,119.4,90.11,32.12,62.15,150.98,990.09,490.59,6.28,331.34,253.27,81.51,78.07,158.88,11.39,67.95,293.11,-0.46,-4.6,11.74,0.95,43.97,40.14,82.62,5.33,6.03,4.1,3.43,-0.48,1.19,1.5,3.69,9.71,1.75,66.5,5.49,2.27,3.35,7.07,51.66,48.24,96.38,11.1,10.43,35.0,2.49,4.42,1.12,0.0,0.01,4143.63,23.95,761.41,-6.2,-76.76,62.34,179.52,75.31,637.52,3.76,13.34,31.8,3.15,260.26,-160.26,-320.48,4143.63,-12637.4,10784.07,2258.07,0.0,0.0,3738.89,23.95,3.76,31.8,3.15,173.0,1
(주)신화다이나믹스,1770,2012,1,24,32401,  1차 금속 제조업 ,1988-11-23,,2.69,-4.93,0.0,-1.13,-3.9,5.08,10.29,0.86,-2.32,-10.04,-29.32,4.61,-17.93,0.0,-2.32,4.2,8.29,3.73,0.62,3.85,3.77,0.62,8.71,1.44,3.96,0.66,57.17,9.46,91.71,96.27,-2.97,-2.67,1.57,-1.1,0.0,18.59,2.21,99.25,4.57,0.0,0.0,1.57,1.11,9.1,104.41,2.79,4.05,4.1,559.52,0.0,2.0,84.84,6.0,0.91,63.43,76611.33,473.0,6104.07,32039.93,2858.47,75.06,37.44,300.92,46.96,24.94,42.92,57.08,659.52,58.12,57.17,133.15,83.3,19.8,119.62,150.39,222.62,2216.14,53.73,133.0,131.35,0.0,1.66,3.8,18.69,40.51,94.38,2.27,1.48,36.41,5.6,73.46,25.52,95.51,8.16,11.5,4.66,4.67,2.38,1.01,1.06,2.33,15.32,1.78,6.96,52.42,1.36,2.15,3.72,98.07,52.32,4.68,0.0,2.69,135.82,3.92,5.02,0.78,0.0,0.01,7458.39,87.75,1094.98,40.86,6.76,50.08,212.43,45.5,1098.18,7.99,41.3,192.83,8.01,57.07,42.93,7.7,7458.39,705.85,4256.85,1459.41,4.12,0.0,1032.16,87.75,7.99,192.83,8.01,85.0,1
(주)신화다이나믹스,1770,2013,1,24,32401,  1차 금속 제조업 ,1988-11-23,,-12.77,-5.09,0.0,-1.14,-2.21,-16.28,-20.57,-5.86,-17.21,0.0,0.0,-380.04,-45.38,0.0,-17.21,-0.5,4.44,-1.06,-2.59,-0.84,-0.94,-2.29,-2.11,-5.14,-0.99,-2.42,-13.5,-32.91,95.56,101.06,-2.25,-2.13,1.78,-0.34,0.0,0.0,-0.71,103.28,5.26,0.0,0.0,1.71,1.26,9.75,124.04,2.83,4.39,4.11,520.89,0.0,0.85,83.91,3.0,0.48,0.0,63424.37,-1645.0,-530.7,30258.33,-674.92,72.04,35.52,257.63,46.45,27.96,46.32,53.68,620.89,60.37,59.86,135.18,87.17,12.23,153.71,136.48,335.34,1748.58,45.84,115.89,115.05,0.0,0.85,2.09,18.75,40.83,88.14,-0.56,-0.86,38.86,5.21,83.53,29.88,99.37,7.75,10.18,4.16,4.39,-0.6,0.88,0.93,1.98,12.68,1.59,6.52,56.0,1.2,1.89,3.27,111.48,47.45,4.06,0.0,2.43,150.17,3.35,4.38,0.69,0.0,0.0,4073.81,47.93,906.5,-9.65,-23.52,49.83,201.63,37.68,957.95,5.0,23.77,127.21,5.29,103.97,-3.97,-49.07,4073.81,-2557.15,4235.43,1374.42,4.6,0.0,1016.51,47.93,5.0,127.21,5.29,85.0,1
(주)신화다이나믹스,1770,2014,1,24,32401,  1차 금속 제조업 ,1988-11-23,,-8.69,-5.32,0.0,-1.16,-8.56,-8.73,5.52,0.27,-19.52,0.0,0.0,0.0,78.16,-1.18,-18.56,-1.49,7.39,2.38,0.82,1.98,1.89,0.65,3.9,1.34,2.0,0.69,24.26,8.32,92.61,97.62,-0.79,-1.24,1.75,0.51,0.0,48.65,2.04,98.44,6.65,0.0,0.0,1.75,1.57,10.29,147.57,2.71,4.29,3.84,522.56,0.0,1.07,83.96,4.0,0.64,48.07,51043.64,416.0,3384.22,30291.57,1213.22,72.0,41.07,257.15,42.43,28.0,50.86,49.14,622.56,55.05,54.05,149.37,88.03,7.59,124.28,124.25,327.16,1602.54,37.99,96.61,94.77,0.0,1.84,3.94,23.8,36.29,71.36,1.27,1.91,42.69,5.23,90.46,35.14,113.74,4.74,6.42,2.33,2.8,1.36,0.8,0.84,1.64,10.21,1.55,6.93,52.69,1.11,1.79,2.9,126.03,35.07,3.71,0.0,2.09,174.67,2.85,3.72,0.65,0.0,0.0,7172.64,85.39,738.24,17.55,6.02,49.09,193.18,29.93,885.14,9.65,44.2,285.26,11.57,57.48,42.52,7.05,7172.64,984.39,4123.17,1085.52,4.04,0.0,975.52,85.39,9.65,285.26,11.57,84.0,1
(주)신화다이나믹스,1770,2015,1,24,32401,  1차 금속 제조업 ,1988-11-23,,-6.43,-4.72,0.0,-1.17,-2.43,-7.98,-14.66,4.23,-7.74,78.64,282.24,550.49,15.06,1.19,-8.82,0.59,12.44,4.6,3.38,3.7,3.66,2.68,6.82,5.0,3.87,2.84,43.35,31.81,87.56,95.4,-0.2,-0.7,1.34,0.64,0.0,23.28,3.75,95.67,7.55,0.0,0.0,1.38,1.56,10.11,173.56,2.3,3.58,3.23,548.9,0.0,5.03,84.61,7.0,1.08,22.01,47093.09,1590.0,5060.25,31458.77,2167.32,70.8,38.09,242.51,43.84,29.2,56.66,43.34,648.9,51.53,50.56,167.57,103.75,14.75,135.16,94.46,401.62,1558.04,33.66,76.51,74.58,0.0,1.93,3.82,28.55,31.85,56.21,3.32,4.28,47.92,5.49,89.84,35.95,114.48,17.01,23.15,7.37,8.97,3.43,0.8,0.84,1.48,9.42,1.72,7.8,46.78,1.11,1.84,2.81,129.98,34.33,3.52,0.0,2.17,168.06,2.78,3.61,0.68,0.0,0.0,8350.79,98.24,673.09,30.98,22.73,49.37,181.9,22.97,818.51,12.0,54.01,427.71,14.6,50.26,49.74,23.14,8350.79,2518.43,4196.77,766.81,2.67,0.0,866.12,98.24,12.0,427.71,14.6,85.0,1
(주)신화다이나믹스,1770,2016,1,24,32401,  1차 금속 제조업 ,1988-11-23,,0.82,-2.73,0.0,-1.18,-2.07,2.01,-36.86,-0.18,22.63,-77.0,-70.17,-80.79,-17.54,-2.35,25.58,16.39,7.6,0.86,0.82,0.88,0.87,0.83,1.54,1.46,0.92,0.88,9.97,9.49,92.4,99.14,0.28,-0.26,0.86,0.6,0.0,27.9,1.68,98.88,6.76,0.0,0.0,0.85,0.78,7.11,197.83,1.97,3.21,2.96,547.73,0.0,1.19,84.58,5.0,0.77,52.7,57749.56,474.0,3616.19,31500.29,498.52,71.64,23.57,252.63,54.75,28.36,56.09,43.91,647.73,50.56,49.37,168.31,128.64,18.26,270.47,58.08,317.6,1267.29,85.16,78.27,75.88,0.0,2.39,4.62,29.08,27.09,48.29,0.99,2.33,47.43,5.48,70.92,28.65,94.16,17.11,27.74,7.51,7.51,1.01,1.0,1.07,1.78,11.55,2.3,8.55,42.67,1.41,2.04,4.58,79.62,33.76,6.22,0.0,2.44,149.31,3.49,4.6,0.88,0.0,0.01,6723.81,81.01,845.29,7.3,6.94,57.47,0.0,0.0,0.0,9.59,44.71,388.91,9.58,70.94,29.06,8.57,6723.81,799.37,4769.82,600.42,2.7,0.0,551.5,81.01,9.59,388.91,9.58,83.0,1
(주)신화다이나믹스,1770,2017,1,24,32401,  1차 금속 제조업 ,1988-11-23,,0.14,0.2,0.0,-1.2,5.78,-2.1,52.0,-6.38,-12.66,0.0,0.0,-723.16,-52.88,0.0,-12.66,-2.69,10.91,-2.95,-3.39,-2.56,-2.57,-2.96,-4.74,-5.46,-2.76,-3.17,-29.75,-34.22,89.09,102.95,-1.37,-1.96,0.92,-1.04,0.0,0.0,-2.15,104.28,7.21,0.0,0.0,0.88,0.94,8.11,200.37,1.76,3.11,3.07,506.4,100.0,0.89,83.53,2.0,0.33,0.0,50437.42,-1711.0,1587.95,29583.62,-1487.43,70.04,36.6,233.81,44.41,29.96,52.44,47.56,606.4,57.12,53.75,158.22,100.31,19.54,136.16,99.47,186.16,1064.47,73.14,90.69,84.42,91.89,6.27,12.76,25.77,26.34,50.23,-3.14,-3.67,43.79,5.06,81.15,33.4,106.14,9.46,17.09,4.5,5.16,-3.19,0.87,0.93,1.61,10.09,1.91,5.27,69.27,1.23,1.76,4.11,88.91,25.37,5.83,0.0,2.17,168.45,2.99,4.07,0.76,1.0,0.01,3168.29,38.17,738.26,-21.77,-25.04,55.92,0.0,0.0,0.0,4.51,21.03,213.15,5.17,146.5,-46.5,-65.6,3168.29,-2644.52,4641.45,565.87,2.84,0.0,602.65,38.17,4.51,213.15,5.17,83.0,1
(주)신화다이나믹스,1770,2018,1,24,32401,  1차 금속 제조업 ,1988-11-23,,-8.06,-2.96,0.0,-1.21,-9.76,-7.34,-15.55,-7.61,16.92,0.0,0.0,0.0,210.31,-7.23,26.03,12.76,9.58,4.44,3.11,4.74,4.72,3.3,8.98,6.28,5.06,3.54,52.36,36.65,90.42,95.56,-0.1,-0.53,0.74,0.22,0.0,28.44,4.09,95.71,7.0,0.0,0.0,0.77,0.89,8.67,228.13,1.67,3.59,3.24,460.28,0.0,-7.31,82.18,2.0,0.36,5.46,58972.29,1833.0,5046.17,27479.65,2617.96,70.59,33.36,240.07,47.05,29.41,52.7,47.3,560.28,55.8,52.62,160.0,106.63,30.65,140.86,88.95,171.99,821.8,81.9,89.74,83.72,96.71,6.03,12.0,26.47,23.54,44.66,5.83,6.84,43.3,4.6,66.15,27.94,84.78,13.19,26.51,6.24,5.62,5.97,1.06,1.14,2.02,11.79,2.24,5.59,65.27,1.51,2.33,4.31,84.6,29.18,6.09,0.0,3.12,117.02,3.58,4.83,0.93,0.54,0.01,9120.72,118.45,930.44,41.31,28.91,63.06,189.9,19.36,838.65,14.12,62.38,611.73,12.73,53.23,46.77,24.41,9120.72,3110.91,4855.25,532.81,3.2,0.0,618.54,118.45,14.12,611.73,12.73,77.0,1
백광산업(주),1340,2015,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1976-06-10,,-31.06,-27.52,0.0,-50.44,-26.58,-45.67,-87.86,-7.32,-60.82,0.0,0.0,0.0,96.02,-46.9,-26.21,26.81,19.7,2.88,-10.59,0.98,0.98,-3.61,3.0,-11.05,1.0,-3.68,19.52,-71.9,80.3,97.12,-4.42,-2.71,2.46,-1.14,0.01,0.0,-2.77,101.53,8.43,0.0,0.0,2.41,15.15,11.47,96.08,1.24,2.23,1.59,497.76,0.0,-21.7,31.98,0.0,0.0,0.0,3304.52,-369.0,500.03,3046.1,95.02,18.52,8.33,22.72,16.97,81.48,38.47,61.53,530.49,211.78,155.13,39.0,35.76,1.55,644.22,0.0,274.43,2208.94,234.75,159.91,123.39,87.43,36.52,0.0,-28.96,46.31,120.35,1.16,0.37,36.1,4.98,63.03,230.66,233.48,7.61,10.11,4.68,11.22,1.17,0.34,0.35,1.04,6.79,0.51,8.83,41.34,1.59,2.18,5.86,62.3,14.04,31.06,7242.58,2.98,122.4,0.43,0.45,0.47,97.8,0.01,24533.93,204.45,1076.64,30.96,-114.04,92.69,2018.18,390.33,2580.56,7.92,10.13,52.38,18.99,45.33,54.67,-55.78,24533.93,-1990.2,11122.36,3179.3,955.06,0.0,19990.25,204.45,7.92,52.38,18.99,120.0,1
백광산업(주),1340,2016,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1976-06-10,,-9.32,-3.72,0.0,0.0,-0.36,-48.8,18.96,1.13,4.23,44.4,0.0,0.0,21.17,2.5,1.69,-15.39,21.31,3.98,1.76,1.85,1.82,0.8,4.48,1.98,1.9,0.84,23.89,10.54,78.69,96.02,-2.34,-3.25,3.62,-0.28,0.02,-7.31,2.45,98.41,7.08,0.0,0.0,3.58,9.04,10.36,119.6,2.78,4.37,3.86,492.11,0.0,-21.57,31.51,0.0,0.0,0.0,2997.87,61.0,766.08,2682.48,119.43,10.46,19.34,11.68,8.43,89.54,42.91,57.09,536.5,208.67,162.74,23.25,18.75,3.02,312.2,0.0,285.83,639.34,109.22,133.04,104.81,92.18,28.23,0.0,-34.52,40.44,94.24,1.08,1.45,39.36,4.92,32.19,187.05,195.03,16.83,23.76,9.61,20.04,1.1,0.46,0.48,1.12,6.0,0.77,15.47,23.6,3.11,3.53,25.76,14.17,64.65,61.51,0.0,5.55,65.71,0.53,0.57,0.75,0.06,0.02,30471.82,247.74,1094.79,43.61,19.25,78.43,1882.77,329.91,2282.87,10.85,13.16,75.09,22.63,31.66,68.34,7.77,30471.82,2207.02,9646.44,4878.02,1419.45,0.0,12322.0,247.74,10.85,75.09,22.63,123.0,1
백광산업(주),1340,2017,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1976-06-10,,-0.28,-1.01,0.0,0.0,-0.68,3.23,-6.7,8.07,7.66,68.7,167.6,136.24,9.57,1.63,5.94,7.41,22.8,6.24,4.37,3.25,3.23,2.26,7.22,5.06,3.48,2.44,40.29,28.22,77.2,93.76,-1.77,-2.27,2.68,0.37,0.02,2.16,3.64,95.6,7.48,0.0,0.0,2.76,8.34,11.05,138.94,2.5,4.04,3.74,512.09,0.0,-15.42,33.69,0.0,0.0,0.0,3227.64,153.0,362.5,2898.88,201.47,10.82,17.48,12.14,8.93,89.18,46.5,53.5,579.78,191.77,145.56,27.94,23.06,2.77,391.91,0.0,291.26,1326.61,134.56,115.05,83.3,86.77,31.75,0.0,-27.91,34.83,74.9,2.3,2.67,41.07,5.12,20.58,172.83,177.23,16.92,25.99,9.05,17.48,2.33,0.52,0.56,1.16,6.46,0.94,21.75,16.78,4.86,5.96,26.41,13.82,66.83,76.41,0.0,7.53,48.46,0.58,0.62,0.98,0.08,0.02,33929.47,271.44,1159.84,72.4,50.7,84.24,1802.67,303.61,2240.16,12.12,15.06,89.4,23.4,31.03,68.97,18.68,33929.47,6477.57,10529.47,3880.2,1294.75,0.0,11747.47,271.44,12.12,89.4,23.4,125.0,1
백광산업(주),1340,2018,1,20,32001,  화학물질 및 화학제품 제조업; 의약품 제외 ,1976-06-10,,6.32,2.62,0.0,0.0,3.01,33.54,52.62,18.21,21.04,203.7,252.26,273.03,41.28,12.0,8.07,17.61,32.34,15.66,12.72,9.54,9.51,7.73,19.35,15.71,10.59,8.6,122.37,99.4,67.66,84.34,-2.42,-1.77,1.84,-0.04,0.02,3.95,8.85,86.8,9.08,0.0,0.0,2.12,7.87,11.93,157.14,2.2,3.73,3.55,606.36,0.0,0.39,42.07,9.56,1.4,9.62,3906.81,524.0,780.57,3378.82,611.86,13.6,19.98,15.73,10.88,86.4,51.7,48.3,685.33,167.13,133.6,38.49,30.8,9.42,253.26,0.0,271.28,1160.53,93.36,93.42,68.33,88.0,25.1,0.0,-21.73,29.79,57.61,8.31,8.19,45.74,6.06,20.17,144.44,149.37,17.85,28.95,8.62,14.63,8.5,0.61,0.68,1.24,7.81,1.2,23.91,15.27,4.96,6.11,26.22,13.92,105.39,75.94,0.0,8.51,42.9,0.69,0.75,1.23,0.09,0.02,53688.63,383.49,1253.48,196.31,159.46,99.07,1576.49,230.06,2126.51,18.03,24.33,166.69,30.59,25.83,74.17,41.58,53688.63,23242.83,13870.26,3232.28,1318.73,0.0,12024.52,383.49,18.03,166.69,30.59,140.0,1
삼성바이오로직스(주),207940,2016,1,21,32101,  의료용 물질 및 의약품 제조업 ,2016-11-10,,26.38,22.54,0.0,0.0,5.27,657.79,37.79,47.12,222.77,0.0,0.0,-109.32,0.0,0.0,0.0,0.0,9.01,-10.33,-60.02,-0.4,-0.45,-2.62,-0.89,-5.16,-1.98,-11.54,-20.06,-116.62,90.99,110.33,-68.05,-24.59,5.3,-0.95,0.0,0.0,-2.39,91.12,39.01,0.0,0.0,5.52,21.28,8.11,11.52,0.47,2.28,2.51,2368.0,0.0,34.9,95.83,0.0,0.0,0.0,10686.82,-3115.0,-2272.91,147570.68,-1103.52,19.4,11.24,24.07,17.22,80.6,54.19,45.81,2468.0,148.73,120.08,59.01,52.38,9.3,40.47,0.0,4369.01,70.73,0.93,84.53,60.66,47.88,23.86,0.0,-13.48,11.19,20.65,-1.58,-13.79,52.0,23.68,280.75,2009.22,792.36,-4.76,-19.46,-2.18,-55.69,-1.95,0.04,0.19,0.09,1.94,0.09,313.52,1.16,0.36,0.43,2.08,175.55,3.38,11.56,189.46,5.81,62.82,0.05,0.3,0.1,0.0,0.0,-44876.79,-29.29,192.31,-19.86,-115.42,71.97,0.0,0.0,0.0,-0.6,-5.23,-7.99,-15.23,0.0,0.0,0.0,-44876.79,-230900.98,110259.58,15614.72,0.0,0.0,60149.89,-29.29,-0.6,-7.99,-15.23,1532.0,1
삼성바이오로직스(주),207940,2017,1,21,32101,  의료용 물질 및 의약품 제조업 ,2016-11-10,,-4.65,38.72,0.0,0.0,8.08,-57.51,27.87,-2.59,57.7,0.0,0.0,0.0,0.0,38.32,14.02,-2.5,28.37,14.2,-20.87,1.03,0.9,-1.32,1.64,-2.41,3.16,-4.64,39.89,-58.62,71.63,85.8,-39.17,-11.43,-0.92,0.37,0.0,0.0,-1.38,70.7,43.03,0.0,0.0,-1.23,20.24,6.3,13.27,-0.13,1.04,0.82,2303.96,0.0,33.39,95.94,0.0,0.0,0.0,7022.28,-1466.0,2264.28,59811.86,997.19,8.65,33.81,9.46,5.72,91.35,55.36,44.64,2403.96,165.02,134.04,27.15,17.97,15.65,8.82,0.0,127.9,19.44,6.9,80.64,57.52,25.4,23.12,0.0,-23.2,7.6,13.73,11.61,999999999.0,53.06,23.04,224.09,1359.54,397.19,1.36,7.98,0.61,9.38,0.0,0.06,0.22,0.12,2.81,0.14,58.08,6.28,0.45,0.54,2.48,146.98,4.91,11.5,41.36,10.93,33.38,0.07,0.36,0.14,0.0,0.01,98355.35,46.42,219.27,31.14,-45.76,70.17,568.42,281.44,3389.85,1.37,8.17,16.49,21.17,151.18,-51.18,-98.59,98355.35,-115994.75,148689.76,-4265.89,0.0,0.0,69926.23,46.42,1.37,16.49,21.17,2119.0,1
코스모신소재(주),5070,2012,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-09-28,,7.05,13.6,0.0,0.0,13.56,-13.47,5.06,-15.4,-18.07,0.0,0.0,-5830.88,-54.92,9.01,-24.84,-4.51,0.38,-8.26,-11.58,-4.65,-4.72,-6.61,-11.1,-15.56,-5.12,-7.17,-15.25,-21.37,99.62,108.26,-3.31,-4.12,4.12,-0.3,0.02,0.0,-4.26,111.23,10.15,0.0,0.0,3.59,4.47,8.65,0.0,4.09,4.65,5.35,25.89,0.0,19.51,20.57,0.0,0.0,0.0,9230.14,-1069.0,-669.46,6168.38,-762.63,19.47,55.19,24.17,8.72,80.53,37.65,62.35,125.89,213.91,140.33,45.69,20.47,4.41,59.34,0.0,168.15,243.84,35.29,165.61,113.18,72.84,52.43,0.0,-23.14,50.38,133.81,-1.95,-1.81,7.74,0.26,38.01,137.16,158.48,-5.63,-6.96,-3.51,-6.36,-2.01,0.57,0.62,1.34,1.85,0.99,14.37,25.4,2.63,5.26,5.27,69.32,17.88,21.7,172.46,8.62,42.36,0.73,0.74,0.92,0.0,0.01,12013.38,33.09,355.68,-29.39,-41.18,41.41,433.31,41.38,644.25,5.14,7.64,79.98,9.3,125.13,-25.13,-124.42,12013.38,-14947.18,15032.84,5320.24,0.0,0.0,6615.84,33.09,5.14,79.98,9.3,363.0,0
코스모신소재(주),5070,2013,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-09-28,,17.22,10.81,0.0,0.0,12.84,35.34,14.28,13.24,18.72,0.0,0.0,0.0,56.42,-0.83,19.71,35.45,5.13,-2.14,-5.64,-1.29,-1.29,-3.4,-3.5,-9.2,-1.4,-3.68,-4.53,-11.93,94.87,102.14,-3.5,-3.6,0.0,-0.29,0.01,0.0,-3.4,105.48,12.13,0.0,0.0,0.0,4.29,7.68,0.0,0.0,0.0,0.0,33.04,0.0,8.76,14.94,0.0,0.0,0.0,10226.98,-600.0,-948.94,6524.01,-218.95,22.48,46.6,28.99,12.0,77.52,36.37,63.63,133.04,213.16,134.92,52.83,28.21,0.89,77.24,0.0,185.75,254.24,41.58,174.95,116.96,72.04,57.99,0.0,-20.06,48.66,133.8,999999999.0,999999999.0,9.03,0.33,34.95,130.76,173.09,-6.76,-8.84,-4.3,-7.69,0.0,0.6,0.65,1.63,2.12,0.96,14.74,24.77,2.86,5.75,5.69,64.09,20.66,21.3,179.57,8.27,44.15,0.76,0.78,0.95,0.0,0.01,18635.99,51.77,425.78,-9.12,-24.0,56.09,560.38,84.92,761.48,6.8,9.24,60.96,12.16,108.36,-8.36,-46.37,18635.99,-8641.11,20193.52,0.0,0.0,0.0,7136.49,51.77,6.8,60.96,12.16,360.0,0
코스모신소재(주),5070,2014,1,20,32004,  화학물질 및 화학제품 제조업; 의약품 제외 ,1987-09-28,,-3.27,-1.63,0.0,0.0,-1.85,-8.16,-14.04,-24.48,-2.57,0.0,0.0,-1840.35,-28.97,-5.56,3.16,-2.47,0.06,-8.85,-15.61,-4.84,-4.9,-8.65,-15.11,-26.65,-5.09,-8.98,-17.64,-31.12,99.94,108.85,-6.76,-6.15,5.81,0.27,0.07,0.0,-5.43,115.2,10.53,0.0,0.0,4.91,4.84,8.0,0.0,4.76,6.43,6.53,0.47,0.0,-20.82,-12.63,0.0,0.0,0.0,9964.23,-1556.0,281.9,4904.1,-882.19,21.34,43.62,27.13,12.03,78.66,28.39,71.61,100.47,277.04,159.96,41.99,23.67,4.42,74.01,0.0,116.75,381.64,63.39,252.19,179.0,78.92,73.19,0.0,-29.49,51.91,182.84,-1.49,-1.69,0.13,0.0,39.57,140.99,170.22,-2.63,-3.63,-1.89,-3.35,-1.53,0.55,0.57,1.71,1.99,0.82,10.83,33.71,2.53,4.61,5.59,65.24,22.11,21.39,192.9,7.39,49.42,0.71,0.73,0.81,0.46,0.01,12501.85,36.77,439.25,-38.89,-68.58,54.71,576.02,80.5,779.91,4.71,6.38,45.68,8.37,148.78,-48.78,-186.52,12501.85,-23318.69,18600.66,8669.88,0.0,0.0,8549.99,36.77,4.71,45.68,8.37,340.0,0
