기업명,거래소코드,기업유형,결산기,이익 과대계상 (비용 과소계상),회사명,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,상장일,상장폐지일,총자본증가율,유형자산증가율,비유동생물자산증가율,투자부동산증가율,비유동자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,종업원1인당 부가가치증가율,종업원수증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액정상영업이익률,매출액순이익률,총자본사업이익률,총자본정상영업이익률,총자본순이익률,자기자본정상영업이익률,자기자본순이익률,경영자본정상영업이익률,경영자본순이익률,자본금정상영업이익률,자본금순이익률,매출원가 대 매출액비율,영업비용 대 영업수익비율,기타손익비률,금융손익비율,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,세금과공과 대 세금과공과 차감전순이익률,기업순이익률,수지비율(관계기업투자손익 제외),인건비 대 총비용비율,R & D 투자효율,세금과공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,유보율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,1주당정상영업이익,유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,"매출채권 대 상,제품비율",매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,정상영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,"상품,제품회전률","원,부재료회전률",재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치,종업원1인당 부가가치,종업원1인당 매출액,종업원1인당 정상영업이익,종업원1인당 순이익,종업원1인당 인건비,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치,법인세비용차감전(계속사업)손익,인건비,금융비용,임차료,세금과공과,감가상각비,종업원1인당 부가가치,총자본투자효율,기계투자효율,부가가치율,종업원수
(주)효성,4800,코스피,2013,1.0,(주)효성,1,64,32005,전문 서비스업,1973/06/30,,-1.24,5.81,0,-1.46,3.81,-9.25,-6.40,-11.25,-0.26,156.68,0,-428.09,,,,,11.8,3.86,-1.88,3.64,3.55,-1.73,17.09,-8.29,4.99,-2.43,276.74,-130.53,88.2,96.14,-1.82,-1.4,1.66,0.2,0.18,192.05,-0.2,97.83,8.16,0.0,0.0,1.62,4.3,13.49,0,1.92,2.69,2.72,"1,399.57",,,96.14,,,,"358,202.41","-6,889","15,519.05",,"13,836.77",30.11,34.78,56.36,19.64,53.43,19.67,80.33,"1,480.09",271.59,112.41,57.39,37.43,6.23,121.50,0,181.41,251.23,66.97,408.34,266.73,63.27,141.61,0,-22.36,60.48,307.43,2.20,2.23,18.63,14.42,34.20,56.68,76.71,4.72,6.27,3.79,4.10,2.33,0.92,1.29,4.42,71.64,1.16,13.15,27.76,2.92,4.45,8.54,42.72,16.89,31.37,129.80,6.84,53.36,1.76,2.37,1.13,0.45,0.01,"2,066,973.85",,,,,,,,,15.21,42.84,108.54,16.43,50.74,49.26,-11.43,"2,066,973.85","256,644.85","1,048,839","208,318",0,0,"553,172",,15.21,108.54,16.43,
(주)효성,4800,코스피,2014,1.0,(주)효성,1,64,32005,전문 서비스업,1973/06/30,,0.51,0.64,0,5.50,1.03,0.63,-3.62,7.43,-3.20,23.55,0,0,,,,,13.23,4.93,2.40,4.46,4.41,2.14,21.56,9.99,6.24,3.03,341.91,153.33,86.77,95.07,-1.08,-2.49,1.64,-0.67,0.28,37.70,3.6,96.19,8.07,0.0,0.0,1.62,4.24,12.76,0,1.84,2.61,2.56,"1,509.59",,,96.93,,,,"346,754.47","8,093","25,821.76",,"17,095.38",30.15,33.31,56.14,20.1,53.71,21.19,78.81,"1,590.11",253.43,114.01,57,38.01,7.29,120.65,0,166.43,256.53,72.50,371.88,249.59,65.9,122.29,0,-22.74,57.98,273.60,2.90,3.35,20.16,15.68,33.72,59.95,78.78,6.74,9.16,5.31,5.96,3.01,0.89,1.27,4.37,69.35,1.12,12.50,29.20,2.97,4.5,8.71,41.90,18.26,30.38,139.24,7.19,50.74,1.67,2.23,1.08,0.29,0.02,"2,180,882.07",,,,,,,,,15.96,45.64,119.21,17.91,45.49,54.51,13.39,"2,180,882.07","468,689.07","992,067","199,283",0,0,"520,843",,15.96,119.21,17.91,
(주)효성,4800,코스피,2015,1.0,(주)효성,1,64,32005,전문 서비스업,1973/06/30,,2.57,2.61,0,4.40,5.46,2.39,9.19,16.70,2.31,58.27,83,129.53,,,,,16.28,7.63,4.22,6.91,6.87,3.8,29.84,16.29,9.62,5.32,541.14,280.60,83.72,92.37,-2.83,-2.17,1.39,-1.21,0.35,11.95,5.05,95.39,8.84,0.0,0.0,1.4,4.61,13.33,103.85,1.62,2.31,2.28,"1,775.11",,,95.57,,,,"354,765.27","14,809","37,988.36",,"27,056.88",30.09,35.53,54.50,19.4,55.22,24.78,75.22,"1,855.63",222.85,106.07,62.77,40.47,7.64,112.75,0,176.58,237.94,63.85,303.59,193.49,60.71,110.10,0,-17.85,55.51,224.02,5.30,4.45,23.77,18.97,33.46,60.50,81.63,10.63,14.40,8.0,8.99,5.49,0.9,1.26,3.91,70.95,1.17,12.77,28.59,2.99,4.56,8.68,42.05,18.38,33.94,166.17,7.45,49,1.65,2.24,1.12,0.30,0.02,"2,432,719.02",,,,,,,,,17.36,46.72,115.95,19.53,44.90,55.10,21.62,"2,432,719.02","597,290.02","1,092,404","172,949",0,0,"570,076",,17.36,115.95,19.53,
(주)서연,7860,코스피,2012,0.0,(주)서연,1,71,33003,전문 서비스업,1989/09/09,,13.15,9.89,0,0,19.53,7.75,10.73,14.49,52.14,-3.63,-15.48,0,,,,,10.61,4.08,2.60,7.07,6.57,4.18,18.43,12.59,7.42,4.72,432.73,243.46,89.39,95.92,-0.07,-0.88,0.33,-0.55,0.02,41.79,4.71,96.13,11.82,0.0,0.44,0.33,3.34,15.67,77.21,0.82,3.66,4.27,"2,027.77",,,93.08,,,,"52,990.01","1,420","1,493.90",,"2,163.64",51.58,16.37,106.53,43.14,48.42,35.18,64.82,"2,065.15",137.63,98.71,101.25,84.67,20.37,314.60,"1,330.87",110.17,963.63,285.55,184.24,144.81,70.4,39.43,"2,186.27",0.63,26.4,75.05,6.40,13.20,34.65,24.23,32.81,29.34,57.87,7.87,19.32,5.1,3.37,12.40,1.61,1.82,4.51,105.98,2.5,6.20,58.86,3.05,3.64,18.86,19.35,51.56,38.46,490.19,5.79,63,3.41,4.54,1.53,0.05,0.04,"419,552.49",,,,,,,,,30.44,92.51,322.65,20.09,58.66,41.34,12.92,"419,552.49","83,889","246,100.21","6,877.82","3,898.25","9,254.49","69,532.72",,30.44,322.65,20.09,
한솔홀딩스(주),4150,코스피,2012,1.0,한솔홀딩스(주),1,71,31701,전문 서비스업,1972/05/17,,-4.27,-0.60,0.0,-20.58,-2.12,-11.29,-12.14,-0.1,0.76,3.46,0,0,,,,,17.9,6.59,1.26,4.81,4.61,0.88,15.16,3.75,5.16,0.98,53.76,12.98,82.1,93.41,-4.18,-3.54,3.96,0.7,0.07,47.85,3.66,96.18,6.28,0.19,0.0,4.03,3.92,5.18,63.78,3.99,9.2,8.69,254.22,,,74.58,,,,"40,788.61",0,"4,608.42",,"2,687.90",21.75,32.57,27.80,14.67,78.25,31.05,68.95,346.11,252.01,120.32,62.2,41.94,5.81,146.76,0,154.13,288.93,95.22,222.05,112.61,63.28,109.44,0,-13.22,33.09,106.58,1.55,1.61,22.99,2.62,32.33,110.53,125.29,8.72,18.16,6.01,8.4,1.66,0.7,0.78,2.3,8.16,1.01,10.15,35.98,3.09,4.6,9.45,38.63,20.25,29.83,123.52,6.06,60.22,0.9,1.01,1.29,0.19,0.02,"291,959.61",,,,,,,,,11.74,17.39,59.24,16.41,37.65,62.35,7.67,"291,959.61","42,912.07","109,930","70,529.54",0,0,"68,588",,11.74,59.24,16.41,
한솔홀딩스(주),4150,코스피,2013,1.0,한솔홀딩스(주),1,71,31701,전문 서비스업,1972/05/17,,19.08,17.98,0.0,-69.86,15.87,30.62,64.44,0.82,11.08,13.54,-68.74,56.03,,,,,18.18,6.74,0.4,5.0,4.89,0.29,16.54,1.17,5.34,0.32,61.04,4.06,81.82,93.26,-5.51,-3.73,3.95,0.34,0.11,57.44,3.16,95.56,7.19,0.04,0.0,4.01,4.43,5.92,74.67,4.07,7.16,8.3,257.07,,,73.36,,,,"45,308.80",219,"1,912.95",,"3,051.82",23.86,41.01,31.33,14.07,76.14,28.29,71.71,348.96,269.14,110.65,76.51,45.13,4.8,115.85,0,184.74,341.73,62.71,253.48,110.23,45.8,143.24,0,-7.33,38.3,135.39,1.64,1.31,21.52,2.92,31.55,106.24,139.45,6.7,12.54,4.8,7.2,1.70,0.73,0.79,2.46,9.06,1.03,11.31,32.26,3.17,5.06,8.49,43.01,21.06,30.16,89.76,6.65,54.86,0.94,1.03,1.3,0.26,0.02,"328,636.60",,,,,,,,,11.1,16.32,49.56,16.63,42.61,57.39,2.39,"328,636.60","24,206.28","140,022","78,097.32",0,0,"86,311",,11.1,49.56,16.63,
현대건설(주),720,코스피,2013,1.0,현대건설(주),1,41,64102,종합 건설업,1984/12/22,,15.06,43.20,0.0,142.32,15.55,14.9,13.93,6.03,3.96,-7.41,-13.49,-17.39,,,,,8.08,5.08,3.61,5.65,5.14,3.64,14.24,9.41,5.78,4.1,126.35,79.15,91.92,94.92,-0.22,0.06,0.0,-0.02,0.07,25.82,3.64,95.05,9.32,0.0,0.0,0.0,0.69,10.59,55.99,0.0,3.04,3.5,765.39,,,88.96,,,,"124,284.14","3,960","1,053.95",,"6,317.34",75.29,11.64,304.74,66.53,24.71,35.01,64.99,865.39,70.58,46.71,159.83,141.22,27.26,102.14,31.10,54.30,838.67,188.09,185.66,134.57,28.37,51.09,63.46,28.18,15.69,44.83,10.06,"4,288.89",31.21,8.21,74.55,24.4,94.63,0.76,3.16,0.5,0.53,"4,484.69",1.01,1.14,2.8,24.86,1.58,5.99,60.9,1.34,1.52,11.48,31.81,62.48,20.07,61.21,10.17,35.88,4.1,9.96,0.82,0.06,0.15,"2,022,823",,,,,,,,,13.79,131.90,389.30,14.6,62.1,37.9,24.69,"2,022,823","673,199","1,256,200",157,0,0,"93,263",,13.79,389.30,14.6,
현대건설(주),720,코스피,2014,1.0,현대건설(주),1,41,64102,종합 건설업,1984/12/22,,24.4,4.42,0.0,174.99,32.56,21.72,3.98,9.72,24.72,17.77,-24.89,-1.03,,,,,8.17,4.8,2.77,5.49,5.04,2.91,13.91,6.55,5.49,3.17,148.80,59.45,91.83,95.2,-0.9,-0.15,0.19,-0.18,0.08,28.78,3.11,95.98,9.09,0.0,0.0,0.19,0.91,11.77,50.7,0.3,4.06,4.31,849.54,,,89.33,,,,"155,009.10","2,975","3,822.52",,"7,439.75",73.67,9.95,279.82,66.34,26.33,37.2,62.8,949.54,70.77,48.02,163.11,146.88,30.85,134.07,25.71,61.45,"1,293.84",218.18,168.80,121.41,24.51,47.39,61.85,28.5,14.24,38.27,7.86,22.04,34.15,11.18,70.86,24.39,98.93,2.37,10.46,1.49,1.57,25.92,1.05,1.14,2.9,31,1.65,6.48,56.36,1.41,1.58,13.18,27.7,117.08,18.90,86.04,11.13,32.81,4.1,10.32,0.87,0.06,0.24,"2,399,598",,,,,,,,,13.15,145.90,414.72,13.89,64.2,35.8,19.98,"2,399,598","673,017","1,540,530","31,992",0,0,"154,054",,13.15,414.72,13.89,
현대건설(주),720,코스피,2015,1.0,현대건설(주),1,41,64102,종합 건설업,1984/12/22,,6.06,2.55,0.0,-6.41,6.62,5.86,-0.62,8.1,11.33,31.37,27.08,45.17,,,,,8.97,5.66,3.45,6.19,5.8,3.53,15.37,7.65,6.19,3.77,195.47,75.54,91.03,94.34,-0.99,-0.24,0.15,0.11,0.08,26.09,3.69,95.38,8.47,0.0,0.0,0.16,1.04,13.07,56.78,0.25,3.92,3.94,926.48,,,89.63,,,,"172,565.12","3,777","5,347.48",,"9,773.74",73.53,9.34,277.81,66.67,26.47,38.19,61.81,"1,026.48",69.30,47.53,165.92,150.43,23.29,187.78,23.50,87.08,"1,856.91",215.64,161.82,116.03,16.6,45.79,59.86,29.21,13.61,35.62,10.57,31.54,35.31,12.26,71.93,25.8,94.01,4.27,19.41,2.64,2.66,37.04,1.02,1.09,2.71,34.51,1.64,6.65,54.86,1.39,1.54,14.43,25.29,140.97,20.27,112.16,8.97,40.68,3.88,11.10,0.86,0.06,0.09,"2,715,180",,,,,,,,,14.03,163.56,452.89,14.12,58.63,41.37,24.45,"2,715,180","898,137","1,591,811","29,408",0,0,"195,819",,14.03,452.89,14.12,
현대건설(주),720,코스피,2016,1.0,현대건설(주),1,41,64102,종합 건설업,1984/12/22,,2.7,-14.60,0.0,136.78,-3.63,4.99,-9.72,10.64,-2.12,6.39,35.90,40.29,,,,,10.25,6.16,3.89,6.32,5.91,3.73,14.94,9.50,6.34,4.0,207.97,102.66,89.75,93.84,-0.94,-0.16,0.04,0.41,0.08,25.45,3.77,94.8,8.71,0.0,0.0,0.04,1.04,12.6,60.21,0.06,3.4,3.35,"1,035.71",,,89.45,,,,"168,902.96","5,133","9,748.54",,"10,398.48",75.17,8.03,302.66,69.13,24.83,40.88,59.12,"1,135.71",60.75,44.37,170.73,157.02,24.57,213.05,19.38,95.81,"3,647.09",222.37,144.61,107.69,23.12,36.92,48.47,31.14,12.88,31.51,13.31,142.98,38.08,13.58,77.47,26.71,98.31,7.16,32.86,4.23,4.47,167.65,0.96,1.03,2.43,33.78,1.59,6.81,53.63,1.29,1.41,14.89,24.51,184.19,20.72,98.40,7.46,48.96,3.74,11.58,0.81,0.06,0.05,"2,774,105",,,,,,,,,13.96,190.41,412.52,14.74,57.48,42.52,26.38,"2,774,105","981,478","1,594,513","6,913",0,0,"190,461",,13.96,412.52,14.74,
(주)서희건설,35890,코스닥,2012,0.0,(주)서희건설,5,41,64101,종합 건설업,1999/12/24,,0.48,77.63,0.0,25,28.07,-10.06,1.48,7.16,-4.83,-49.56,0,0,,,,,7.64,0.78,-1.83,1.86,0.91,-2.13,3.01,-7.17,1.22,-2.87,10.71,-25.02,92.36,99.22,-2.63,-0.83,0.83,0.0,0.2,0,-1.16,101.82,5.94,0,0.0,0.81,0.42,7.24,23.06,1.39,6.95,7.88,205.13,,,67.69,,,,"6,380.14",-121,-312.12,,49.77,64.77,3.11,183.83,62.75,35.23,31.06,68.94,301.92,113.44,77.26,119.06,115.36,12.35,"1,057.33",19.41,115.81,"16,688.30",912.95,221.98,175.15,55.09,46.83,140.26,10.37,27.51,88.56,0.47,-1.22,21.26,2.10,58.77,26.96,62.65,-9.72,-24.37,-6.7,-5.76,0.94,1.17,1.57,3.85,13.73,1.67,5.63,64.82,1.7,1.75,58.24,6.27,"1,058.08",61.63,0,5.9,61.89,3.71,24.4,0.93,0.02,0.3,"51,076.84",,,,,,,,,6.47,293.54,371.32,5.56,110.39,-10.39,-32.92,"51,076.84","-16,973.58","56,382.20","7,637.01",0,0,"4,031.22",,6.47,371.32,5.56,
(주)서희건설,35890,코스닥,2013,0.0,(주)서희건설,5,41,64101,종합 건설업,1999/12/24,,-5.32,-84.24,0.0,28.05,15.37,-16.57,-16.93,-27.16,-9.42,162.91,0,0,,,,,10.31,2.26,-7.91,3.35,2.45,-8.57,8.87,-31.75,3.28,-11.46,23.57,-82.83,89.69,97.74,-9.53,-1.12,1.3,0.18,0.24,0,-7.16,107.14,7.39,0,0.0,1.19,1.26,9.74,6.41,1.94,7.94,8.03,123.22,,,55.90,,,,"5,205.90",-422,166.04,,117.87,57.07,3.09,132.93,55.3,42.93,24.06,75.94,219.92,178.42,93.40,105.61,102.34,13.70,872.88,58.25,110.02,"11,659.90",793.38,315.61,224.59,55.05,91.02,722.40,3.03,29.74,123.59,1.07,-4.61,13.72,1.28,56.35,35.99,68.90,-1.62,-4.14,-1.23,-1.11,1.75,1.08,1.45,3.92,10.41,1.5,6.66,54.78,1.77,1.83,57.21,6.38,834.25,61.42,0,5.88,62.12,2.78,29.84,0.94,0.02,0.07,"28,690.21",,,,,,,,,3.84,377.54,764.37,3.45,233.53,-133.53,-229.54,"28,690.21","-60,488.58","66,999.19","10,789.28",0,0,"11,390.32",,3.84,764.37,3.45,
(주)서희건설,35890,코스닥,2014,0.0,(주)서희건설,5,41,64101,종합 건설업,1999/12/24,,-1.8,-3.67,0.0,-1.80,-2.84,-1.01,-7.36,3.81,13.11,115.37,0,0,,,,,12.0,4.31,0.66,5.88,5.48,0.83,22.2,4.01,7.16,1.09,50.77,8.99,88.0,95.69,-3.36,-1.17,1.15,-0.01,0.22,30.87,2.3,99.06,7.3,0,0.0,1.16,1.16,6.94,7.75,1.95,7.15,6.66,131.59,,,57.51,,,,"5,888.39",46,202.42,,253.85,57.53,2.9,135.44,55.86,42.47,25.29,74.71,228.30,167.93,89.26,109.75,106.57,14.11,700.87,32.61,69.53,"12,942.84","1,007.96",295.38,207.25,48.62,88.13,436.28,5.11,26.4,104.39,2.93,1.82,14.76,1.36,45.09,33.61,59.47,5.37,15.20,4.01,3.13,3.73,1.27,1.66,5.15,11.78,1.69,8.26,44.21,2.22,2.29,74.03,4.93,"1,140.62",79.17,0,9.37,38.96,2.98,126.25,1.15,0.01,0.0,"99,179.18",,,,,,,,,13.5,"1,354.81","2,237",10.53,69.07,30.93,6.23,"99,179.18","8,936.03","68,504.58","10,873.63",0,0,"10,864.95",,13.5,"2,237",10.53,
(주)서희건설,35890,코스닥,2015,0.0,(주)서희건설,5,41,64101,종합 건설업,1999/12/24,,-1.7,-8.88,0.0,-62.59,-6.29,1.69,-21.91,5.43,11.91,-14.67,65.97,77.01,,,,,11.57,3.29,1.44,5.12,4.76,2.08,17.9,6.36,6.14,2.68,43.32,14.92,88.43,96.71,-1.40,-0.39,0.82,0.01,0.29,23.97,3.26,98.15,6.69,0,0.0,0.82,1.13,7.79,7.98,1.62,7.19,6.44,146.41,,,60.84,,,,"6,589.52",78,364.40,,216.62,59.51,2.22,146.98,58.19,40.49,27.88,72.12,240.70,145.23,82.26,117.19,114.58,23.57,"1,148.32",15.16,79.09,"16,108.87","1,451.98",258.68,182.14,38.67,76.54,244.44,8.73,21.76,78.06,3.07,3.30,17.44,1.57,40.43,28.67,53.85,8.71,28.85,6.28,4.30,4.01,1.45,1.87,5.45,13.18,1.97,8.04,45.38,2.47,2.54,96.73,3.77,"1,568.70",103.09,0,10.78,33.85,3.49,150.66,1.31,0.01,0.0,"110,984.64",,,,,,,,,15.37,"1,663.91","2,720.98",10.53,63.58,36.42,13.63,"110,984.64","19,893.30","70,564.40","8,644.84",0,0,"11,882.09",,15.37,"2,720.98",10.53,
(주)서희건설,35890,코스닥,2016,0.0,(주)서희건설,5,41,64101,종합 건설업,1999/12/24,,6.22,-57.01,0.0,27.32,1.93,9.14,0.09,13.73,1.88,137.67,126.17,123.02,,,,,13.92,7.67,2.66,11.37,11.06,3.83,38.24,13.12,14.21,4.92,102.97,33.75,86.08,92.33,-4.04,-0.14,0.7,0.0,0.38,26.72,4.84,96.41,7.59,0,0.0,0.72,1.07,7.78,6.77,1.43,5.92,6.09,179.47,,,65.51,,,,"6,713.31",176,673.15,,514.84,61.15,2.04,157.37,59.9,38.85,29.91,70.09,273.76,129.88,79.89,119.04,116.61,36.38,"1,409.95",12.75,105.81,"18,122.08","1,332.51",234.29,171.71,44.3,62.58,191.40,9.78,21.69,72.49,8.36,6.15,20.08,1.93,41.84,27.49,55.05,15.44,49.90,10.82,7.73,10.91,1.44,1.85,4.99,13.43,2.03,8.07,45.24,2.39,2.44,112.32,3.25,"1,506.80",121.37,0,8.78,41.57,3.64,225.15,1.29,0.01,0.0,"137,015.58",,,,,,,,,17.87,"4,778.13",0,12.76,57.94,42.06,20.81,"137,015.58","38,913.04","79,385.31","7,549.74",0,0,"11,167.50",,17.87,0,12.76,
(주)마제스타,35480,코스닥,2012,1.0,(주)제이테크놀로지,4,91,32605,스포츠 및 오락관련 서비스업,1999/11/18,2019/12/12,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,,,,,15.37,-17.31,-22.24,-9.33,-9.62,-12.36,-36.91,-46.81,-12.14,-15.59,-109.48,-138.84,84.63,117.31,-4.93,-2.79,2.69,-1.06,0.12,0,-10.86,121.58,7.1,4.70,0.0,2.15,1.56,4.53,19.97,2.02,3.19,3.19,196.58,,,72.24,,,,"3,163.10",-729,300.79,,-547.40,53.42,5.55,114.68,50.45,46.58,26.05,73.95,296.58,178.80,98.11,101.71,96.06,5.98,523.27,331.10,200.70,"27,546.21",260.72,283.86,201.62,68.04,82.24,"2,390.81",0.90,56.04,215.13,-5.39,-7.25,17.27,1.97,96.13,83.82,142.59,7.15,9.43,5.28,9.51,-6.42,0.56,0.7,2.13,6.33,0.75,7.18,50.81,1.04,1.1,18.73,19.49,985.92,19.14,0,3.58,101.98,1.19,19.67,0.52,0.07,0.01,"-2,870.64",,,,,,,,,-3.51,-124.41,"-171,381.39",-6.32,0,0,0,"-2,870.64","-10,093.25","4,037.37","1,222.99","1,073.01",0,889.25,,-3.51,"-171,381.39",-6.32,
(주)마제스타,35480,코스닥,2013,1.0,(주)제이테크놀로지,4,91,32605,스포츠 및 오락관련 서비스업,1999/11/18,2019/12/12,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,,,,,23.95,-13.78,-46.98,-7.95,-9.16,-31.23,-25.72,-187.42,-9.54,-32.51,-67.75,-210.93,76.05,113.78,-33.19,-4.25,4.20,0.13,0.40,0,-28.44,143.84,17.02,2.62,2.78,2.72,1.98,6.07,26.02,4.33,10.73,10.73,12.54,,,20.43,,,,"2,535","-1,260",-192.48,,-349.45,57.17,2.4,133.48,55.8,42.83,35.63,64.37,112.54,120.22,111.04,93.07,90.84,12.86,"1,263.09",0,209.24,"22,092.08",603.65,180.70,172.42,98.23,8.27,0,-4.26,37.32,104.76,-2.29,-10.19,22.10,1.63,86,64.43,144.48,-7.84,-13.52,-5.05,-7.59,-3.28,0.66,0.69,1.87,4.91,1.03,8.02,45.5,1.16,1.19,48.42,7.54,846.89,65.41,0,3.83,95.21,1.55,7.72,0.56,0.02,0.02,-603.54,,,,,,,,,-0.84,-10.69,-265.54,-1.27,0,0,0,-603.54,"-22,408.36","12,514.10","2,002.46","3,790.61","2,045.11","1,452.54",,-0.84,-265.54,-1.27,
(주)마제스타,35480,코스닥,2014,1.0,(주)제이테크놀로지,4,91,32605,스포츠 및 오락관련 서비스업,1999/11/18,2019/12/12,-24.34,-25.28,0.0,0,-9.11,-35.76,-97.94,221.65,-3.34,0,0,0,,,,,42.52,18.18,3.63,13.45,13.3,2.66,27.62,6.45,14.01,2.8,74.17,13.13,57.48,81.82,-37.01,-4.73,4.70,0.02,0.12,0,6.1,118.47,22.24,0.44,7.25,3.89,3.11,7.31,13.09,6.63,27.03,12.88,172.42,,,65.28,,,,"2,031.50",70,760.32,,369.30,48.55,0.08,94.35,48.51,51.45,64.72,35.28,272.42,79.51,74.95,154.88,154.76,93.10,"21,297.14",0.22,"6,835.35",0,311.57,54.52,48.43,0.0,6.09,22.90,17.20,15.43,23.85,3.70,-3.01,40.96,1.72,73.07,63.62,110.05,35.59,81.37,12.56,14.79,3.87,0.73,0.77,1.52,4.08,1.41,15.34,23.79,1.37,1.39,91.72,3.98,"1,637.22",126.46,0,5.5,66.32,1.57,8.54,0.72,0.01,0.02,"15,419.47",,,,,,,,,28.4,334.05,0,33.44,80.35,19.65,10.87,"15,419.47","-8,682.72","12,389.38","2,167.54","3,824.83","4,038.79","1,734.02",,28.4,0,33.44,
(주)마제스타,35480,코스닥,2015,1.0,(주)제이테크놀로지,4,91,189102,스포츠 및 오락관련 서비스업,1999/11/18,2019/12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)마제스타,35480,코스닥,2016,1.0,(주)제이테크놀로지,4,91,189102,스포츠 및 오락관련 서비스업,1999/11/18,2019/12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전파기지국(주),65530,코스닥,2012,0.0,(주)와이어블,5,61,106102,우편 및 통신업,2002/06/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전파기지국(주),65530,코스닥,2013,0.0,(주)와이어블,5,61,106102,우편 및 통신업,2002/06/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전파기지국(주),65530,코스닥,2014,0.0,(주)와이어블,5,61,106102,우편 및 통신업,2002/06/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전파기지국(주),65530,코스닥,2015,0.0,(주)와이어블,5,61,106102,우편 및 통신업,2002/06/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국전파기지국(주),65530,코스닥,2016,0.0,(주)와이어블,5,61,106102,우편 및 통신업,2002/06/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
